//================================================================================
// Detail textures for Doble Strife map
// Map and detail textures by Zarko "Napoleon' Dinev
// Do not mess with this file, unless you know what you're doing.
// This map used 307 textures! Brinding the engine to it's limits!
//================================================================================

// [texture name]	[detail texture name]		[hscale]	[vscale]
!PRXWATER1A       	detail/!WATERBLUE 			1.0			1.0
+0button1         	detail/dt_metal1 			1.0			1.0
+0button2         	detail/dt_metal1 			1.0			1.0
+0button4         	detail/dt_metal1 			1.0			1.0
+0flickermon		detail/dt_metal1 			1.0			1.0	
+0lab1_comp10c    	detail/dt_metal1 			1.0			1.0	
+0lab1_comp10e    	detail/dt_metal1 			1.0			1.0	
+0lab1_comp9a2    	detail/dt_metal1 			1.0			1.0	
+0medkit          	detail/dt_metal1 			1.0			1.0
+0medkitA         	detail/dt_metal1 			1.0			1.0
+0PRXCAUSTIC3     	detail/dt_metal1 			1.0			1.0
+0recharge			detail/dt_metal1 			1.0			1.0
+0rechargeA       	detail/dt_metal1 			1.0			1.0
+0~c2a4_cmp1      	detail/+0~C2A4_CMP1			1.0			1.0
+0~fifties_lgt2   	detail/+0~fifts_lght3		1.0			1.0
+0~fifts_lght3    	detail/+0~fifts_lght3		1.0			1.0
+0~generic86b     	detail/crystallized1 		1.0			1.0 
+0~generic86r     	detail/crystallized1 		1.0			1.0 
+0~light4a			detail/crystallized1 		1.0			1.0 
+0~light5a        	detail/crystallized1 		1.0			1.0 
+0~light6a        	detail/crystallized1 		1.0			1.0 
+1flickermon      	detail/dt_metal1 			1.0			1.0	
+1lab1_comp10c    	detail/dt_metal1 			1.0			1.0
+1lab1_comp10e    	detail/dt_metal1 			1.0			1.0
+1lab1_comp9a2    	detail/dt_metal1 			1.0			1.0
+1PRXCAUSTIC3		detail/dt_metal1 			1.0			1.0
+1~c2a4_cmp1      	detail/+0~C2A4_CMP1			1.0			1.0
+2flickermon      	detail/dt_metal1 			1.0			1.0
+2lab1_comp10c    	detail/dt_metal1 			1.0			1.0
+2lab1_comp10e    	detail/dt_metal1 			1.0			1.0
+2lab1_comp9a2    	detail/dt_metal1 			1.0			1.0
+2PRXCAUSTIC3     	detail/dt_metal1 			1.0			1.0
+3flickermon		detail/dt_metal1 			1.0			1.0
+3PRXCAUSTIC3     	detail/dt_metal1 			1.0			1.0
+4flickermon      	detail/dt_metal1 			1.0			1.0
+5flickermon      	detail/dt_metal1 			1.0			1.0
+6flickermon      	detail/dt_metal1 			1.0			1.0
+7flickermon      	detail/dt_metal1 			1.0			1.0
+8flickermon      	detail/dt_metal1 			1.0			1.0
+9flickermon		detail/dt_metal1 			1.0			1.0
+abutton1         	detail/dt_metal1 			1.0			1.0
+abutton2         	detail/dt_metal1 			1.0			1.0
+abutton4         	detail/dt_metal1 			1.0			1.0
+amedkit          	detail/dt_metal1 			1.0			1.0
+amedkitA         	detail/dt_metal1 			1.0			1.0
+arecharge        	detail/dt_metal1 			1.0			1.0
+arechargeA			detail/dt_metal1 			1.0			1.0
+a~autolock       	detail/dt_metal1 			1.0			1.0
+a~fifties_lgt2   	detail/+0~fifts_lght3		1.0			1.0
+a~fifts_lght3    	detail/+0~fifts_lght3		1.0			1.0 
+a~generic86b     	detail/crystallized1 		1.0			1.0
+a~generic86r     	detail/crystallized1 		1.0			1.0
+a~light4a        	detail/crystallized1 		1.0			1.0
+a~light5a			detail/crystallized1 		1.0			1.0
+a~light6a        	detail/crystallized1 		1.0			1.0
-0genpipe1        	detail/crystallized1 		1.0			1.0
-0silo2_p1        	detail/crystallized1 		1.0			1.0
-0silo2_p2        	detail/crystallized1 		1.0			1.0
-0silo2_p2b       	detail/crystallized1 		1.0			1.0
-1genpipe1        	detail/crystallized1 		1.0			1.0
-1silo2_p1			detail/crystallized1 		1.0			1.0
-1silo2_p2        	detail/crystallized1 		1.0			1.0
-1silo2_p2b       	detail/crystallized1 		1.0			1.0
-2genpipe1        	detail/crystallized1 		1.0			1.0
-2silo2_p1        	detail/crystallized1 		1.0			1.0
-2silo2_p2        	detail/crystallized1 		1.0			1.0
-2silo2_p2b       	detail/crystallized1 		1.0			1.0
-3silo2_p2			detail/crystallized1 		1.0			1.0
-3silo2_p2b       	detail/crystallized1 		1.0			1.0
ammo01            	detail/crystallized1 		1.0			1.0
babtech_ceil01  	detail/babtech_ceil01		1.0			1.0   
basetrim01        	detail/dt_metal1 			1.0			1.0	
ba_barreltop_02   	detail/dt_metal1 			1.0			1.0	
ba_light_yellow   	detail/dt_metal1 			1.0			1.0	
ba_tire_02			detail/dt_metal1 			1.0			1.0	
ba_wire3          	detail/dt_metal1 			1.0			1.0	
